Year,Region,Type,Sub-type,Total
2011,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,55-64,20
2011,NO INFO,Age,55-64,0
2011,NATIONAL CAPITAL REGION (NCR),Age,65 and above,494
2011,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,65 and above,117
2011,REGION I (ILOCOS REGION),Age,65 and above,248
2011,REGION II (CAGAYAN VALLEY),Age,65 and above,137
2011,REGION III (CENTRAL LUZON),Age,65 and above,408
2011,REGION IV-A (CALABARZON),Age,65 and above,452
2011,MIMAROPA REGION,Age,65 and above,44
2011,REGION V (BICOL REGION),Age,65 and above,125
2011,REGION VI (WESTERN VISAYAS),Age,65 and above,136
2011,REGION VII (CENTRAL VISAYAS),Age,65 and above,258
2011,REGION VIII (EASTERN VISAYAS),Age,65 and above,232
2011,REGION IX (ZAMBOANGA PENINSULA),Age,65 and above,101
2011,REGION X (NORTHERN MINDANAO),Age,65 and above,228
2011,REGION XI (DAVAO REGION),Age,65 and above,253
2011,REGION XII (SOCCSKSARGEN),Age,65 and above,123
2011,REGION XIII (Caraga),Age,65 and above,81
2011,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,65 and above,9
2011,NO INFO,Age,65 and above,0
2011,NATIONAL CAPITAL REGION (NCR),Age,No info,731
2011,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,No info,68
2011,REGION I (ILOCOS REGION),Age,No info,145
2011,REGION II (CAGAYAN VALLEY),Age,No info,24
2011,REGION III (CENTRAL LUZON),Age,No info,295
2011,REGION IV-A (CALABARZON),Age,No info,78
2011,MIMAROPA REGION,Age,No info,74
2011,REGION V (BICOL REGION),Age,No info,60
2011,REGION VI (WESTERN VISAYAS),Age,No info,17
2011,REGION VII (CENTRAL VISAYAS),Age,No info,47
2011,REGION VIII (EASTERN VISAYAS),Age,No info,13
2011,REGION IX (ZAMBOANGA PENINSULA),Age,No info,57
2011,REGION X (NORTHERN MINDANAO),Age,No info,1
2011,REGION XI (DAVAO REGION),Age,No info,70
2011,REGION XII (SOCCSKSARGEN),Age,No info,48
2011,REGION XIII (Caraga),Age,No info,31
2011,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,No info,1
2011,NO INFO,Age,No info,0
2012,NATIONAL CAPITAL REGION (NCR),Age,<25,0
2012,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,<25,0
2012,REGION I (ILOCOS REGION),Age,<25,0
2012,REGION II (CAGAYAN VALLEY),Age,<25,0
2012,REGION III (CENTRAL LUZON),Age,<25,0
2012,REGION IV-A (CALABARZON),Age,<25,1
2012,MIMAROPA REGION,Age,<25,0
2012,REGION V (BICOL REGION),Age,<25,0
2012,REGION VI (WESTERN VISAYAS),Age,<25,0
2012,REGION VII (CENTRAL VISAYAS),Age,<25,0
2012,REGION VIII (EASTERN VISAYAS),Age,<25,0
2012,REGION IX (ZAMBOANGA PENINSULA),Age,<25,0
2012,REGION X (NORTHERN MINDANAO),Age,<25,0
2012,REGION XI (DAVAO REGION),Age,<25,0
2012,REGION XII (SOCCSKSARGEN),Age,<25,0
2012,REGION XIII (Caraga),Age,<25,0
2012,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,<25,0
2012,NO INFO,Age,<25,0
2012,NATIONAL CAPITAL REGION (NCR),Age,25-34,374
2012,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,25-34,3
2012,REGION I (ILOCOS REGION),Age,25-34,3
2012,REGION II (CAGAYAN VALLEY),Age,25-34,3
2012,REGION III (CENTRAL LUZON),Age,25-34,6
2012,REGION IV-A (CALABARZON),Age,25-34,30
2012,MIMAROPA REGION,Age,25-34,1
2012,REGION V (BICOL REGION),Age,25-34,2
2012,REGION VI (WESTERN VISAYAS),Age,25-34,18
2012,REGION VII (CENTRAL VISAYAS),Age,25-34,3
2012,REGION VIII (EASTERN VISAYAS),Age,25-34,0
2012,REGION IX (ZAMBOANGA PENINSULA),Age,25-34,1
2012,REGION X (NORTHERN MINDANAO),Age,25-34,12
2012,REGION XI (DAVAO REGION),Age,25-34,6
2012,REGION XII (SOCCSKSARGEN),Age,25-34,4
2012,REGION XIII (Caraga),Age,25-34,2
2012,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,25-34,0
2012,NO INFO,Age,25-34,0
2012,NATIONAL CAPITAL REGION (NCR),Age,35-44,2577
2012,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,35-44,208
2012,REGION I (ILOCOS REGION),Age,35-44,177
2012,REGION II (CAGAYAN VALLEY),Age,35-44,133
2012,REGION III (CENTRAL LUZON),Age,35-44,475
2012,REGION IV-A (CALABARZON),Age,35-44,436
2012,MIMAROPA REGION,Age,35-44,50
2012,REGION V (BICOL REGION),Age,35-44,89
2012,REGION VI (WESTERN VISAYAS),Age,35-44,270
2012,REGION VII (CENTRAL VISAYAS),Age,35-44,293
2012,REGION VIII (EASTERN VISAYAS),Age,35-44,132
2012,REGION IX (ZAMBOANGA PENINSULA),Age,35-44,113
2012,REGION X (NORTHERN MINDANAO),Age,35-44,212
2012,REGION XI (DAVAO REGION),Age,35-44,85
2012,REGION XII (SOCCSKSARGEN),Age,35-44,114
2012,REGION XIII (Caraga),Age,35-44,92
2012,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,35-44,17
2012,NO INFO,Age,35-44,0
2012,NATIONAL CAPITAL REGION (NCR),Age,45-54,1936
2012,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,45-54,220
2012,REGION I (ILOCOS REGION),Age,45-54,428
2012,REGION II (CAGAYAN VALLEY),Age,45-54,266
2012,REGION III (CENTRAL LUZON),Age,45-54,821
2012,REGION IV-A (CALABARZON),Age,45-54,730
2012,MIMAROPA REGION,Age,45-54,120
2012,REGION V (BICOL REGION),Age,45-54,231
2012,REGION VI (WESTERN VISAYAS),Age,45-54,311
2012,REGION VII (CENTRAL VISAYAS),Age,45-54,290
2012,REGION VIII (EASTERN VISAYAS),Age,45-54,148
2012,REGION IX (ZAMBOANGA PENINSULA),Age,45-54,143
2012,REGION X (NORTHERN MINDANAO),Age,45-54,214
2012,REGION XI (DAVAO REGION),Age,45-54,179
2012,REGION XII (SOCCSKSARGEN),Age,45-54,252
2012,REGION XIII (Caraga),Age,45-54,106
2012,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,45-54,13
2012,NO INFO,Age,45-54,0
2012,NATIONAL CAPITAL REGION (NCR),Age,55-64,1409
2012,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,55-64,156
2012,REGION I (ILOCOS REGION),Age,55-64,419
2012,REGION II (CAGAYAN VALLEY),Age,55-64,220
2012,REGION III (CENTRAL LUZON),Age,55-64,559
2012,REGION IV-A (CALABARZON),Age,55-64,548
2012,MIMAROPA REGION,Age,55-64,123
2012,REGION V (BICOL REGION),Age,55-64,261
2012,REGION VI (WESTERN VISAYAS),Age,55-64,260
2012,REGION VII (CENTRAL VISAYAS),Age,55-64,222
2012,REGION VIII (EASTERN VISAYAS),Age,55-64,180
2012,REGION IX (ZAMBOANGA PENINSULA),Age,55-64,135
2012,REGION X (NORTHERN MINDANAO),Age,55-64,193
2012,REGION XI (DAVAO REGION),Age,55-64,153
2012,REGION XII (SOCCSKSARGEN),Age,55-64,240
2012,REGION XIII (Caraga),Age,55-64,110
2012,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,55-64,20
2012,NO INFO,Age,55-64,0
2012,NATIONAL CAPITAL REGION (NCR),Age,65 and above,1587
2012,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,65 and above,141
2012,REGION I (ILOCOS REGION),Age,65 and above,252
2012,REGION II (CAGAYAN VALLEY),Age,65 and above,133
2012,REGION III (CENTRAL LUZON),Age,65 and above,407
2012,REGION IV-A (CALABARZON),Age,65 and above,436
2012,MIMAROPA REGION,Age,65 and above,47
2012,REGION V (BICOL REGION),Age,65 and above,124
2012,REGION VI (WESTERN VISAYAS),Age,65 and above,138
2012,REGION VII (CENTRAL VISAYAS),Age,65 and above,246
2012,REGION VIII (EASTERN VISAYAS),Age,65 and above,236
2012,REGION IX (ZAMBOANGA PENINSULA),Age,65 and above,113
2012,REGION X (NORTHERN MINDANAO),Age,65 and above,261
2012,REGION XI (DAVAO REGION),Age,65 and above,216
2012,REGION XII (SOCCSKSARGEN),Age,65 and above,126
2012,REGION XIII (Caraga),Age,65 and above,79
2012,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,65 and above,8
2012,NO INFO,Age,65 and above,0
2012,NATIONAL CAPITAL REGION (NCR),Age,No info,656
2012,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,No info,68
2012,REGION I (ILOCOS REGION),Age,No info,144
2012,REGION II (CAGAYAN VALLEY),Age,No info,24
2012,REGION III (CENTRAL LUZON),Age,No info,289
2012,REGION IV-A (CALABARZON),Age,No info,77
2012,MIMAROPA REGION,Age,No info,73
2012,REGION V (BICOL REGION),Age,No info,59
2012,REGION VI (WESTERN VISAYAS),Age,No info,17
2012,REGION VII (CENTRAL VISAYAS),Age,No info,45
2012,REGION VIII (EASTERN VISAYAS),Age,No info,13
2012,REGION IX (ZAMBOANGA PENINSULA),Age,No info,54
2012,REGION X (NORTHERN MINDANAO),Age,No info,1
2012,REGION XI (DAVAO REGION),Age,No info,68
2012,REGION XII (SOCCSKSARGEN),Age,No info,48
2012,REGION XIII (Caraga),Age,No info,31
2012,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,No info,1
2012,NO INFO,Age,No info,0
2013,NATIONAL CAPITAL REGION (NCR),Age,<25,0
2013,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,<25,0
2013,REGION I (ILOCOS REGION),Age,<25,0
2013,REGION II (CAGAYAN VALLEY),Age,<25,0
2013,REGION III (CENTRAL LUZON),Age,<25,0
2013,REGION IV-A (CALABARZON),Age,<25,1
2013,MIMAROPA REGION,Age,<25,0
2013,REGION V (BICOL REGION),Age,<25,0
2013,REGION VI (WESTERN VISAYAS),Age,<25,0
2013,REGION VII (CENTRAL VISAYAS),Age,<25,0
2013,REGION VIII (EASTERN VISAYAS),Age,<25,0
2013,REGION IX (ZAMBOANGA PENINSULA),Age,<25,0
2013,REGION X (NORTHERN MINDANAO),Age,<25,0
2013,REGION XI (DAVAO REGION),Age,<25,0
2013,REGION XII (SOCCSKSARGEN),Age,<25,0
2013,REGION XIII (Caraga),Age,<25,0
2013,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,<25,0
2013,NO INFO,Age,<25,0
2013,NATIONAL CAPITAL REGION (NCR),Age,25-34,536
2013,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,25-34,3
2013,REGION I (ILOCOS REGION),Age,25-34,3
2013,REGION II (CAGAYAN VALLEY),Age,25-34,3
2013,REGION III (CENTRAL LUZON),Age,25-34,12
2013,REGION IV-A (CALABARZON),Age,25-34,30
2013,MIMAROPA REGION,Age,25-34,1
2013,REGION V (BICOL REGION),Age,25-34,4
2013,REGION VI (WESTERN VISAYAS),Age,25-34,19
2013,REGION VII (CENTRAL VISAYAS),Age,25-34,4
2013,REGION VIII (EASTERN VISAYAS),Age,25-34,0
2013,REGION IX (ZAMBOANGA PENINSULA),Age,25-34,1
2013,REGION X (NORTHERN MINDANAO),Age,25-34,13
2013,REGION XI (DAVAO REGION),Age,25-34,6
2013,REGION XII (SOCCSKSARGEN),Age,25-34,4
2013,REGION XIII (Caraga),Age,25-34,2
2013,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,25-34,0
2013,NO INFO,Age,25-34,0
2013,NATIONAL CAPITAL REGION (NCR),Age,35-44,2924
2013,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,35-44,208
2013,REGION I (ILOCOS REGION),Age,35-44,177
2013,REGION II (CAGAYAN VALLEY),Age,35-44,136
2013,REGION III (CENTRAL LUZON),Age,35-44,495
2013,REGION IV-A (CALABARZON),Age,35-44,441
2013,MIMAROPA REGION,Age,35-44,50
2013,REGION V (BICOL REGION),Age,35-44,89
2013,REGION VI (WESTERN VISAYAS),Age,35-44,272
2013,REGION VII (CENTRAL VISAYAS),Age,35-44,288
2013,REGION VIII (EASTERN VISAYAS),Age,35-44,133
2013,REGION IX (ZAMBOANGA PENINSULA),Age,35-44,113
2013,REGION X (NORTHERN MINDANAO),Age,35-44,213
2013,REGION XI (DAVAO REGION),Age,35-44,85
2013,REGION XII (SOCCSKSARGEN),Age,35-44,115
2013,REGION XIII (Caraga),Age,35-44,93
2013,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,35-44,17
2013,NO INFO,Age,35-44,0
2013,NATIONAL CAPITAL REGION (NCR),Age,45-54,2179
2013,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,45-54,218
2013,REGION I (ILOCOS REGION),Age,45-54,435
2013,REGION II (CAGAYAN VALLEY),Age,45-54,270
2013,REGION III (CENTRAL LUZON),Age,45-54,816
2013,REGION IV-A (CALABARZON),Age,45-54,764
2013,MIMAROPA REGION,Age,45-54,120
2013,REGION V (BICOL REGION),Age,45-54,230
2013,REGION VI (WESTERN VISAYAS),Age,45-54,310
2013,REGION VII (CENTRAL VISAYAS),Age,45-54,291
2013,REGION VIII (EASTERN VISAYAS),Age,45-54,149
2013,REGION IX (ZAMBOANGA PENINSULA),Age,45-54,143
2013,REGION X (NORTHERN MINDANAO),Age,45-54,214
2013,REGION XI (DAVAO REGION),Age,45-54,179
2013,REGION XII (SOCCSKSARGEN),Age,45-54,254
2013,REGION XIII (Caraga),Age,45-54,107
2013,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,45-54,13
2013,NO INFO,Age,45-54,0
2013,NATIONAL CAPITAL REGION (NCR),Age,55-64,1598
2013,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,55-64,157
2013,REGION I (ILOCOS REGION),Age,55-64,417
2013,REGION II (CAGAYAN VALLEY),Age,55-64,220
2013,REGION III (CENTRAL LUZON),Age,55-64,560
2013,REGION IV-A (CALABARZON),Age,55-64,571
2013,MIMAROPA REGION,Age,55-64,122
2013,REGION V (BICOL REGION),Age,55-64,260
2013,REGION VI (WESTERN VISAYAS),Age,55-64,261
2013,REGION VII (CENTRAL VISAYAS),Age,55-64,223
2013,REGION VIII (EASTERN VISAYAS),Age,55-64,179
2013,REGION IX (ZAMBOANGA PENINSULA),Age,55-64,135
2013,REGION X (NORTHERN MINDANAO),Age,55-64,193
2013,REGION XI (DAVAO REGION),Age,55-64,153
2013,REGION XII (SOCCSKSARGEN),Age,55-64,239
2013,REGION XIII (Caraga),Age,55-64,110
2013,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,55-64,20
2013,NO INFO,Age,55-64,0
2013,NATIONAL CAPITAL REGION (NCR),Age,65 and above,1853
2013,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,65 and above,140
2013,REGION I (ILOCOS REGION),Age,65 and above,278
2013,REGION II (CAGAYAN VALLEY),Age,65 and above,152
2013,REGION III (CENTRAL LUZON),Age,65 and above,459
2013,REGION IV-A (CALABARZON),Age,65 and above,495
2013,MIMAROPA REGION,Age,65 and above,47
2013,REGION V (BICOL REGION),Age,65 and above,151
2013,REGION VI (WESTERN VISAYAS),Age,65 and above,151
